event_id,deficiency_domain,deficiency_subtype,subtype_redacted,application_type,product_name,sponsor,office,regulatory_pathway,crl_date,year,disclosure_status__publicly_rele,application_number,data_limitation
CRL_265,Regulatory,Redacted,1,BLA,PRX-102,Chiesi USA,"Rare Diseases, Pediatrics, Urologic and Reproductive Medicine",351(a),4/27/2021,2021,Y,761161,0
CRL_266,CMC,Facility,0,BLA,sutimlimab,"Bioverativ USA, Inc.","Cardiology, Hematology, Endocrinology, and Nephrology",351(a),11/13/2020,2020,Y,761164,0
CRL_266,Regulatory,Labeling,0,BLA,sutimlimab,"Bioverativ USA, Inc.","Cardiology, Hematology, Endocrinology, and Nephrology",351(a),11/13/2020,2020,Y,761164,0
CRL_267,CMC,Facility,0,BLA,P1101,PharmaEssentia Corporation,"Cardiology, Hematology, Endocrinology, and Nephrology",351(a),3/12/2021,2021,Y,761166,0
CRL_267,Clinical,Human Factors,0,BLA,P1101,PharmaEssentia Corporation,"Cardiology, Hematology, Endocrinology, and Nephrology",351(a),3/12/2021,2021,Y,761166,0
CRL_268,CMC,Manufacturing Controls,0,BLA,"Tralokinumab Injection, 150 mg/ML",LEO Pharma A/S,Immunology and Inflammation,351(a),4/23/2021,2021,Y,761180,0
CRL_269,CMC,Facility,0,BLA,PRV-031,"Provention Bio, Inc","Cardiology, Hematology, Endocrinology, and Nephrology",351(a),7/2/2021,2021,Y,761183,0
CRL_269,Clinical,Pharmacology,0,BLA,PRV-031,"Provention Bio, Inc","Cardiology, Hematology, Endocrinology, and Nephrology",351(a),7/2/2021,2021,Y,761183,0
CRL_269,CMC,Specifications,0,BLA,PRV-031,"Provention Bio, Inc","Cardiology, Hematology, Endocrinology, and Nephrology",351(a),7/2/2021,2021,Y,761183,0
CRL_269,CMC,Stability,0,BLA,PRV-031,"Provention Bio, Inc","Cardiology, Hematology, Endocrinology, and Nephrology",351(a),7/2/2021,2021,Y,761183,0
CRL_270,CMC,Facility,0,BLA,MOD-4023 injection,Pfizer Ireland Pharmaceuticals,"Cardiology, Hematology, Endocrinology, and Nephrology",351(a),1/21/2022,2022,Y,761184,0
