event_id,deficiency_domain,application_type,office,regulatory_pathway,year
CRL_197,Clinical,NDA,Drug Evaluation 2,505(b)(2),2019
CRL_197,Regulatory,NDA,Drug Evaluation 2,505(b)(2),2019
CRL_198,CMC,NDA,Drug Evaluation 2,505(b)(2),2018
CRL_198,Clinical,NDA,Drug Evaluation 2,505(b)(2),2018
CRL_198,Nonclinical,NDA,Drug Evaluation 2,505(b)(2),2018
CRL_199,CMC,NDA,Neuroscience,505(b)(2),2021
CRL_200,CMC,NDA,Drug Evaluation 1,505(b)(2),2018
CRL_200,Patent Certifications,NDA,Drug Evaluation 1,505(b)(2),2018
CRL_200,Regulatory,NDA,Drug Evaluation 1,505(b)(2),2018
CRL_201,CMC,NDA,Antimicrobial Products,505(b)(2),2018
CRL_202,CMC,NDA,Infectious Diseases,505(b)(2),2021
CRL_202,Regulatory,NDA,Infectious Diseases,505(b)(2),2021
CRL_203,CMC,NDA,Infectious Diseases,505(b)(2),2020
CRL_203,Regulatory,NDA,Infectious Diseases,505(b)(2),2020
CRL_204,CMC,NDA,Antimicrobial Products,505(b)(2),2018
CRL_205,CMC,NDA,Neuroscience,505(b)(2),2021
CRL_206,CMC,NDA,Neuroscience,505(b)(2),2020
CRL_206,Regulatory,NDA,Neuroscience,505(b)(2),2020
CRL_207,CMC,NDA,Drug Evaluation 2,505(b)(2),2018
CRL_207,Clinical,NDA,Drug Evaluation 2,505(b)(2),2018
CRL_207,Nonclinical,NDA,Drug Evaluation 2,505(b)(2),2018
CRL_207,Regulatory,NDA,Drug Evaluation 2,505(b)(2),2018
CRL_208,CMC,NDA,Hematology & Oncology Products,505(b)(2),2017
CRL_208,Clinical,NDA,Hematology & Oncology Products,505(b)(2),2017
CRL_208,Nonclinical,NDA,Hematology & Oncology Products,505(b)(2),2017
CRL_209,Clinical,NDA,Drug Evaluation 3,505(b)(2),2017
CRL_210,Clinical,NDA,Drug Evaluation 2,505(b)(2),2018
CRL_210,Nonclinical,NDA,Drug Evaluation 2,505(b)(2),2018
CRL_210,Regulatory,NDA,Drug Evaluation 2,505(b)(2),2018
CRL_211,CMC,NDA,Drug Evaluation 3,505(b),2017
CRL_212,CMC,NDA,Drug Evaluation 2,505(b)(2),2018
CRL_212,Nonclinical,NDA,Drug Evaluation 2,505(b)(2),2018
CRL_213,CMC,NDA,Drug Evaluation 3,505(b)(2),2019
CRL_214,CMC,NDA,Drug Evaluation 3,505(b)(2),2018
CRL_214,Regulatory,NDA,Drug Evaluation 3,505(b)(2),2018
CRL_215,CMC,NDA,Drug Evaluation 3,505(b)(2),2019
CRL_215,Clinical,NDA,Drug Evaluation 3,505(b)(2),2019
CRL_216,Nonclinical,NDA,Drug Evaluation 3,505(b)(2),2018
CRL_217,CMC,NDA,"Cardiology, Hematology, Endocrinology, and Nephrology",505(b)(2),2020
CRL_217,Clinical,NDA,"Cardiology, Hematology, Endocrinology, and Nephrology",505(b)(2),2020
CRL_217,Regulatory,NDA,"Cardiology, Hematology, Endocrinology, and Nephrology",505(b)(2),2020
CRL_218,CMC,NDA,Drug Evaluation 1,505(b)(2),2018
CRL_218,Clinical,NDA,Drug Evaluation 1,505(b)(2),2018
CRL_218,Regulatory,NDA,Drug Evaluation 1,505(b)(2),2018
CRL_219,CMC,NDA,Neuroscience,505(b)(2),2020
CRL_219,Regulatory,NDA,Neuroscience,505(b)(2),2020
CRL_220,CMC,NDA,Drug Evaluation 2,505(b)(2),2017
CRL_220,Clinical,NDA,Drug Evaluation 2,505(b)(2),2017
CRL_220,Nonclinical,NDA,Drug Evaluation 2,505(b)(2),2017
CRL_220,Regulatory,NDA,Drug Evaluation 2,505(b)(2),2017
CRL_220,Statistics,NDA,Drug Evaluation 2,505(b)(2),2017
CRL_221,CMC,NDA,Immunology and Inflammation,505(b)(2),2021
CRL_221,Clinical,NDA,Immunology and Inflammation,505(b)(2),2021
CRL_222,Nonclinical,NDA,Infectious Diseases,505(b)(2),2021
CRL_223,CMC,NDA,Infectious Diseases,505(b)(2),2020
CRL_223,Nonclinical,NDA,Infectious Diseases,505(b)(2),2020
CRL_224,Nonclinical,NDA,Neuroscience,505(b)(2),2022
CRL_225,CMC,NDA,Immunology and Inflammation,505(b),2022
CRL_225,Regulatory,NDA,Immunology and Inflammation,505(b),2022
CRL_226,CMC,NDA,Specialty Medicine,505(b)(2),2021
CRL_226,Clinical,NDA,Specialty Medicine,505(b)(2),2021
CRL_226,Regulatory,NDA,Specialty Medicine,505(b)(2),2021
CRL_227,Clinical,NDA,"Cardiology, Hematology, Endocrinology, and Nephrology",505(b),2022
CRL_228,CMC,NDA,Neuroscience,505(b)(2),2023
CRL_229,CMC,NDA,Infectious Diseases,505(b),2022
CRL_230,Regulatory,NDA,Infectious Diseases,505(b),2022
CRL_231,CMC,NDA,Neuroscience,505(b)(2),2024
CRL_231,Nonclinical,NDA,Neuroscience,505(b)(2),2024
CRL_232,Regulatory,NDA,Immunology and Inflammation,505(b)(2),2023
CRL_233,CMC,NDA,"Cardiology, Hematology, Endocrinology, and Nephrology",505(b),2023
CRL_234,CMC,NDA,Immunology and Inflammation,505(b)(2),2022
CRL_234,Regulatory,NDA,Immunology and Inflammation,505(b)(2),2022
CRL_235,CMC,NDA,Neuroscience,505(b)(2),2024
CRL_236,CMC,NDA,Neuroscience,505(b)(2),2023
CRL_236,Clinical,NDA,Neuroscience,505(b)(2),2023
CRL_236,Regulatory,NDA,Neuroscience,505(b)(2),2023
CRL_237,Nonclinical,NDA,Neuroscience,505(b)(2),2023
CRL_238,CMC,NDA,"Cardiology, Hematology, Endocrinology, and Nephrology",505(b)(2),2023
CRL_239,Clinical,NDA,Specialty Medicine,505(b),2024
CRL_240,Clinical,NDA,Immunology and Inflammation,505(b),2023
CRL_241,CMC,NDA,"Cardiology, Hematology, Endocrinology, and Nephrology",505(b)(2),2024
CRL_242,CMC,NDA,"Cardiology, Hematology, Endocrinology, and Nephrology",505(b)(2),2024
CRL_243,CMC,BLA,Hematology & Oncology Products,351(k),2017
CRL_243,Clinical,BLA,Hematology & Oncology Products,351(k),2017
CRL_244,CMC,BLA,Hematology & Oncology Products,351(k),2016
CRL_244,Clinical,BLA,Hematology & Oncology Products,351(k),2016
CRL_245,Clinical,BLA,Drug Evaluation 3,351(a),2017
CRL_246,CMC,BLA,Drug Evaluation 2,351(k),2018
CRL_247,CMC,BLA,Hematology & Oncology Products,351(k),2018
CRL_248,CMC,BLA,Hematology & Oncology Products,351(k),2018
CRL_249,CMC,BLA,"Cardiology, Hematology, Endocrinology, and Nephrology",351(k),2021
CRL_250,CMC,BLA,"Cardiology, Hematology, Endocrinology, and Nephrology",351(k),2020
CRL_251,CMC,BLA,Hematology & Oncology Products,351(k),2019
CRL_251,Statistics,BLA,Hematology & Oncology Products,351(k),2019
CRL_252,CMC,BLA,Hematology & Oncology Products,351(k),2018
CRL_252,Statistics,BLA,Hematology & Oncology Products,351(k),2018
CRL_253,CMC,BLA,"Cardiology, Hematology, Endocrinology, and Nephrology",351(k),2021
CRL_254,CMC,BLA,Drug Evaluation 3,351(a),2018
CRL_254,Regulatory,BLA,Drug Evaluation 3,351(a),2018
CRL_255,CMC,BLA,Hematology & Oncology Products,351(k),2018
CRL_255,Clinical,BLA,Hematology & Oncology Products,351(k),2018
CRL_256,CMC,BLA,Hematology & Oncology Products,351(k),2018
CRL_257,CMC,BLA,Hematology & Oncology Products,351(a),2019
CRL_258,CMC,BLA,"Cardiology, Hematology, Endocrinology, and Nephrology",351(k),2023
CRL_259,CMC,BLA,"Cardiology, Hematology, Endocrinology, and Nephrology",351(k),2021
CRL_260,CMC,BLA,Hematology & Oncology Products,351(k),2019
CRL_260,Nonclinical,BLA,Hematology & Oncology Products,351(k),2019
CRL_261,CMC,BLA,Immunology and Inflammation,351(a),2021
CRL_262,CMC,BLA,Drug Evaluation 3,351(a),2019
CRL_262,Clinical,BLA,Drug Evaluation 3,351(a),2019
CRL_262,Regulatory,BLA,Drug Evaluation 3,351(a),2019
